算法对比项,经典优化,量子-经典混合,改进
""
投资组合配置
激进(单一策略),100% Avellaneda-Stoikov,60% Avellaneda + 40% Market Making,多样化 +40%
平衡(双策略),60% + 40% 混合,60% + 40% 混合,相同配置
保守(三策略),40% + 35% + 25%,N/A (量子聚焦高收益),N/A
""
性能指标 (推荐配置)
预期年化收益,216.97%,172.91%,-20.27%
Sharpe比率,1.41,1.35,-4.26%
最大回撤,40.45%,35.70%,-11.76%
风险调整分数,5.14,2.72,-47.09%
""
量子电路参数
量子比特数,N/A,3,QAOA风格
量子态数,N/A,8,2^3 叠加态
电路深度,N/A,15,3层Hadamard+CNOT+RZ
纠缠度,N/A,4.16e-17,接近零 (经典优化主导)
编码相位数,N/A,6,所有策略指标编码
""
优化过程
总迭代数,N/A,6,5量子+1经典精化
量子迭代,N/A,5,每次测量1000个样本
经典精化改进,N/A,105.72%,SLSQP精化后改进幅度
""
算法特性
算法类型,经典约束优化,量子启发+经典混合,混合优势
初始化,等权重,量子叠加态,探索性更强
搜索空间,连续权重空间,离散量子态→连续权重,两层搜索
收敛性,快速收敛,多层次收敛,更全局最优
计算复杂度,O(n^2),O(n*2^q),q=3时可接受
